ENTRYID,ENTRYTYPE,ENTRYNAME,TOTALRUN,TOTALWINS,PRE95ENTRYID
529442,Jockey,"Joe Fanning",20197,2596,529442
521666,Jockey,"Frankie Dettori",11904,2510,521666
772626,Jockey,"Ryan Moore",13964,2450,
731878,Jockey,"Jamie Spencer",14013,2238,
613441,Jockey,"Jim Crowley",14799,2183,
726050,Jockey,"Paul Hanagan",16539,2094,
829644,Jockey,"Luke Morris",18826,1961,
888173,Jockey,"Adam Kirby",13725,1916,
559978,Jockey,"Graham Lee",14540,1875,
564234,Jockey,"Dane O'Neill",17526,1854,564234
548483,Jockey,"Franny Norton",16305,1712,548483
925841,Jockey,"William Buick",8992,1644,
714735,Jockey,"Robert Winston",14416,1638,
731092,Jockey,"Neil Callan",12877,1606,
803179,Jockey,"Brian Hughes",9352,1605,
525017,Jockey,"Martin Dwyer",15257,1537,525017
731086,Jockey,"Tom Scudamore",9782,1479,
826926,Jockey,"James Doyle",9827,1466,
727604,Jockey,"Paddy Brennan",8228,1434,
813165,Jockey,"Richard Kingscote",10053,1393,
811703,Jockey,"Daniel Tudhope",9271,1389,
897079,Jockey,"David Probert",12008,1369,
555241,Jockey,"Jimmy Quinn",17552,1316,555241
990402,Jockey,"Sam Twiston-Davies",7185,1298,
752057,Jockey,"Paul Mulrennan",12412,1294,
731898,Jockey,"Shane Kelly",13199,1231,
949370,Jockey,"Aidan Coleman",6707,1214,
735079,Jockey,"Tom Eaves",15423,1203,
503226,Jockey,"Robert Havlin",10964,1180,503226
752979,Jockey,"David Allan",11492,1176,
816992,Jockey,"P. J. McDonald",10395,1164,
774825,Jockey,"Tom Queally",10941,1159,
953955,Jockey,"Andrea Atzeni",7556,1159,
906246,Jockey,"Harry Skelton",5090,1089,
518309,Jockey,"John Egan",11687,1083,
895436,Jockey,"Tom O'Brien",6720,1057,
766160,Jockey,"Liam Keniry",13194,1019,
764118,Jockey,"Pat Cosgrave",8227,948,
767727,Jockey,"Tony Hamilton",10317,945,
764505,Jockey,"Hayley Turner",9572,935,
988642,Jockey,"Ben Curtis",6358,921,
786598,Jockey,"Jamie Moore",6598,903,
774795,Jockey,"Daryl Jacob",5375,895,
1082913,Jockey,"Tom Marquand",6983,886,
614396,Jockey,"Pat Dobbs",7647,805,
905569,Jockey,"Jack Mitchell",5308,759,
786067,Jockey,"Stevie Donohoe",7948,747,
624679,Jockey,"Royston Ffrench",8936,740,
1058376,Jockey,"Hollie Doyle",5349,732,
979024,Jockey,"Martin Harley",5741,723,
808104,Jockey,"Dougie Costello",7155,669,
780003,Jockey,"Andrew Mullen",8567,667,
1025669,Jockey,"Jason Hart",5805,665,
946953,Jockey,"Sean Levey",5435,657,
1060175,Jockey,"Sean Bowen",3133,641,
961340,Jockey,"Nico de Boinville",2502,622,
930374,Jockey,"Nick Scholfield",4690,618,
