RANKING,OWNERNAME,OWNERID,CHAMPIONSHIPTYPE,LEADINGEARNERHORSE,TOTALOWNERCHAMPIONSHIPWINS,TOTALOWNERCHAMPIONSHIPSRUNS,TOTALOWNERPRIZEMONEYWON
1,"Mr John P. McManus",562284,JUMP,"Jerrysback (IRE)",16,70,216429.47
2,"Judith Wilson",823766,JUMP,"Al Roc (FR)",16,90,199358.74
3,"Mr Roddy Owen",555290,JUMP,"Francky du Berlais (FR)",4,10,75147.40
5,ValueRacingClub.co.uk,1072262,JUMP,"Pisgah Pike (IRE)",7,33,65644.35
6,"K Jardine R Griffiths S Greig",1163741,JUMP,"N'Golo (IRE)",1,1,56950.00
7,"Mrs Johnny de la Hey",1013009,JUMP,"Tamaroc Du Mathan (FR)",1,5,45534.00
8,"Mr T. G. Leslie",810712,JUMP,"Master Malachy (IRE)",6,12,42714.60
9,"Mr N. A. Twiston-Davies",522329,JUMP,"One True King (IRE)",4,21,42637.36
10,"Mr John Wade",515547,JUMP,"Raecius Felix (IRE)",6,27,42122.03
12,"Pitchall Stud Partnership",1119780,JUMP,"Finest View (GB)",4,5,38210.64
14,"The Megsons",1075284,JUMP,"Severance (GB)",3,9,37247.95
15,"Colin and Kay Taylor",1161544,JUMP,"Latino Fling (IRE)",6,13,36838.16
16,"Jane Nuala Cartwright",1147903,JUMP,"Ragamuffin (IRE)",4,13,35795.21
17,"Golden Equinox Racing",1128327,JUMP,"Solo Saxophone (IRE)",4,15,35622.83
18,"Mrs M. C. Banks",505618,JUMP,"Mandocello (FR)",3,8,35556.14
19,"Mr Robert Aplin",533803,JUMP,"Beyond The Clouds (GB)",4,17,35454.08
20,"Tim Syder & Andrew Gemmell",1147308,JUMP,"Hang In There (IRE)",4,5,35392.38
21,"Mrs N. Unsworth",548427,JUMP,"Statuario (GB)",2,6,34831.54
24,"Mr Raymond Anderson Green",502973,JUMP,"Castletown (FR)",3,15,33538.74
26,"Salvo & Alex Giannini, N.Farrell",1164525,JUMP,"Light N Strike (IRE)",2,5,32206.38
27,"Sir Martin Broughton & Friends 6",1155453,JUMP,"Hell Red (FR)",4,6,31855.72
28,"Walters Plant Hire & Potter Group",1045685,JUMP,"Galileo Silver (IRE)",2,5,31811.24
29,"Mrs Fitri Hay",790092,JUMP,"Carys' Commodity (GB)",2,12,31380.14
30,"Jenny Perry and Celia Goaman",1122897,JUMP,"Kauto The King (FR)",3,4,31275.38
31,"Mr David Keith Tye",565325,JUMP,"Mucuna (GER)",5,9,30893.71
32,"Mrs Carolyn Kendrick",894228,JUMP,"Stoner's Choice (GB)",3,15,30415.16
33,"Emdells Limited",1109097,JUMP,"Mr Yeats (IRE)",3,13,29796.41
34," J Rymer R Farnham C Rymer J Farnham",1142240,JUMP,"Ruthless Article (IRE)",1,3,29385.00
35,"Lewis Nettley Racing",1151400,JUMP,"Elios d'Or (FR)",2,9,28852.24
36,"Mrs J. Rees",749500,JUMP,"Bathiva (FR)",3,9,28601.73
37,"Mr Alan Rogers",1154564,JUMP,"Clear The Runway (IRE)",4,4,28101.36
38,"Miss E. Hamilton",42625,JUMP,"Island Mahee (IRE)",1,3,27910.91
39,"Mr G. E. Fitzpatrick",985312,JUMP,"Geromino (FR)",3,7,27560.48
40,"Mr Gwilym J. Morris",541042,JUMP,"Judge Earle (IRE)",5,9,27338.81
41,"Robert and Marie Smith & Charles Pogson",1173967,JUMP,"Larch Hill (IRE)",2,5,26826.50
42,"Mr Nic Brereton",1154883,JUMP,"Castel Gandolfo (IRE)",2,6,26291.68
43,"Mr Simon Munir & Mr Isaac Souede",1058410,JUMP,"Gipsy de Choisel (FR)",2,14,26246.13
44,"McGoldrick Racing",993928,JUMP,"Romeo Brown (GB)",1,1,26015.00
45,"Worcester Racing Club and Partner",1158473,JUMP,"Liffeydale Dreamer (IRE)",4,6,25811.88
46,"Mr A Kerr Mr L Kerr",1131891,JUMP,"Sword of Fate (IRE)",1,19,25520.63
47,"Four hens and a cock",1176020,JUMP,"Romanor (GB)",3,6,25437.86
48," John Marriott",747697,JUMP,"Nero Rock (IRE)",2,14,25069.32
49,"Simon & Christine Prout",1039669,JUMP,"Tommie Beau (IRE)",2,16,24904.81
50,"Owners Group 036",1144849,JUMP,"Wild Max (GER)",3,4,24366.50
51,KHDRP,1087847,JUMP,"Accidental Rebel (GB)",5,11,24177.44
52,"Mr Paul Murphy",507258,JUMP,"Mercian Prince (IRE)",0,3,23870.50
53,"Mr Les Buckley",705324,JUMP,"Finisk River (GB)",3,5,23488.09
54,"Mr D. W. Fox",1011367,JUMP,"One For Billy (GB)",2,7,23144.05
55,"El Borracho Syndicate",1153764,JUMP,"El Borracho (IRE)",3,6,22904.56
56,"Mrs Jill Phillips & Graeme McPherson",1131584,JUMP,"Pop The Champagne (FR)",4,5,22873.20
57,"Mr D Carr and Miss A P Lee",1174375,JUMP,"Saint Arvans (FR)",3,6,22840.42
58,"Mr G. H. Bell",894224,JUMP,"The Navigator (GB)",1,4,22789.75
59,"Mr A. B. Hamilton",841502,JUMP,"All About Joe (IRE)",2,10,22723.45
61,"Mr F Green and Mr J Chinn",1138194,JUMP,"Neville's Cross (IRE)",2,4,22526.36
62,"Mrs Elaine Holmes",554636,JUMP,"The Vollan (IRE)",3,7,22507.16
63,"Mark Kelly Racing Syndicate",1178096,JUMP,"Kerosine Light (IRE)",3,5,22323.36
64,"Dr V. M. G. Ferguson",927939,JUMP,"Leapaway (IRE)",2,6,22256.56
65,"Yen Hall Farm Racing",903194,JUMP,"Glimpse of Gold (GB)",2,6,22191.22
67,"Martin Tedham & Wasdell Properties Ltd.",1173420,JUMP,"Tedham (GB)",3,10,21804.49
68,"Syd Hosie",1088052,JUMP,"Coal Stock (IRE)",3,23,21786.26
69,"Mrs G. S. Worcester",714717,JUMP,"Pencreek (FR)",3,5,21472.30
71,"Mrs D. Ritson",500162,JUMP,"Wbee (IRE)",1,4,21373.75
72,"Mr L Bolingbroke & Mr P Molony",1161319,JUMP,"Floating Rock (GER)",2,6,21193.45
74,"David Pipe Racing Club",1143733,JUMP,"Ben Lilly (IRE)",0,25,20880.00
75,"Double Barrels Of Courage",1115524,JUMP,"Golden Taipan (IRE)",2,5,20848.22
76,"West Coast Haulage Limited",894901,JUMP,"Demachine (IRE)",1,1,20812.00
77,"Mrs Evelyn Slack",532734,JUMP,"Tico Times (IRE)",3,9,20453.98
79,"Owners Group 085",1168569,JUMP,"Gaulois (FR)",3,5,20052.07
80,"Mrs Lynne Webb",1056687,JUMP,"Lady Reset (GB)",2,7,19881.62
81,"Always Smiling",1152647,JUMP,"Byzantine Empire (GB)",2,4,19877.76
83,"Mr Greenfingers Syndicate",1143314,JUMP,"Lake Shore Drive (IRE)",3,10,19486.65
84,"Mr Kieron Gammell",1048483,JUMP,"Hermann Clermont (FR)",2,5,19472.70
85,"Mr Jonathan Martin",952235,JUMP,"Lermoos Legend (GB)",1,6,19326.04
86,"Mr Phil Ellerby",1156949,JUMP,"Getaway Jewel (IRE)",3,11,19310.17
88,"Mr David Phelan",994762,JUMP,"Noahthirtytwored (IRE)",4,6,19278.86
89,"Mr C. L. Tizzard",544095,JUMP,"Vision des Flos (FR)",2,5,19237.80
90,"Mr D. Rees",718183,JUMP,"Karannelle (IRE)",2,10,19193.46
91,"Mr A. H. Harvey",520806,JUMP,"Belles Benefit (IRE)",1,4,18868.58
92,"Mrs S Russell & A M Russell",1051332,JUMP,"Rapid Raider (IRE)",3,7,18750.26
93,"Gunalt Partnership",1161307,JUMP,"Kinondo Kwetu (GB)",2,2,18679.78
94,"Sophie Pauling & Les de la Haye",1152451,JUMP,"On Springs (IRE)",4,5,18582.59
95,"Foxtrot Racing The Red Caps",1048780,JUMP,"Galata Bridge (GB)",2,18,18473.71
96,"Mrs J. A. Ashley",979334,JUMP,"Sir Tivo (FR)",1,10,18296.55
97,"Mr Oliver Ryan",807064,JUMP,"Found On (IRE)",3,4,18220.98
98,"Bennett and O'Brien",1160475,JUMP,"Tardree (IRE)",2,6,17830.86
99,"Mr David Lockwood",981541,JUMP,"Fat Sam (GB)",2,7,17734.25
100,"Back to the Track Syndicate",1166847,JUMP,"Cawthorne (GB)",4,8,17679.72
102,"The Affordable (3) Partnership",1045615,JUMP,"Mr Freedom (GB)",3,10,17602.56
103,"Catch Twenty Two",1108595,JUMP,"Reine Fee (IRE)",1,6,17438.17
104,"Mr M. Fruhwald",1142526,JUMP,"Hurricane Ali (IRE)",2,6,17411.11
105,"Sue Howell",532289,JUMP,"Kilchreest Moon (IRE)",3,14,17319.65
106,"Eric Jones, Geoff Nicholas, John Romans",1118556,JUMP,"Slate House (IRE)",1,2,17253.00
107,"Mr Aidan J. Ryan",560772,JUMP,"Ted Hastings (IRE)",3,8,17247.70
108,"Yorton Racing",1113933,JUMP,"Gentle Connections (GB)",3,3,17154.90
110,"Mr Doug Pocock",972170,JUMP,"Mortlach (GB)",3,3,17045.98
111,"The One More Sleep Racing Syndicate",1143479,JUMP,"Mahler's Promise (IRE)",1,3,17021.00
112,"Mr H. Jones & Mrs E. Evans",1116812,JUMP,"Shareef Star (GB)",2,6,16971.94
113,"Dr R. D. P. Newland",546371,JUMP,"Wake Up Early (IRE)",2,10,16962.18
114,"The Fountains Partnership",752070,JUMP,"Fountains Chief (GB)",3,3,16928.56
115,"The Plantation Racing Club",1074228,JUMP,"Give Me A Moment (IRE)",3,6,16894.10
116,"The Lads and Her",1159829,JUMP,"Go On Chez (GB)",2,4,16863.35
117,"Billington,Bolingbroke,MerseyRacing,Kent",1173462,JUMP,"Simply Red (GB)",2,8,16804.04
118,"T Hunter & D A Harrison Racing",1117383,JUMP,"Malangen (IRE)",2,17,16782.12
119,"Tor Side Racing",1117748,JUMP,"Leopolds Rock (IRE)",2,10,16508.85
120,"A Baxter, C Burke & N Sobreperez",1146954,JUMP,"Catchmeifyoucan (IRE)",2,5,16352.78
121,"Mezzone Family",1052306,JUMP,"Percy's Word (GB)",2,5,16300.71
122,"Mr Robert Kirkland",507433,JUMP,"Haul Away (IRE)",2,5,16105.54
123,"Mrs Janet Davies",1120422,JUMP,"Loved Out (IRE)",1,9,15814.35
125,"Breath Of Fresh Air Racing",1172576,JUMP,"You Name Him (GB)",3,6,15765.91
127,"Mr & Mrs I P Earnshaw",1084049,JUMP,"Who's The Guv'nor (IRE)",3,5,15517.95
128,"Mr P. J. McBurney",1131215,JUMP,"Cirque Royal (GB)",2,7,15421.30
129,"Mr S. R. Whistance",992135,JUMP,"Ennistown (GB)",1,13,15226.23
130,"McNeill Family & Patrick&Scott Bryceland",1147746,JUMP,"Champagnesuperover (IRE)",1,4,15167.50
131,"The B Lucky Partnership",1032155,JUMP,"Landen Calling (IRE)",2,5,15056.73
132,"Mr Mark E. Smith",1032214,JUMP,"Cardboard Gangster (GB)",2,16,14953.62
133,"Wright Morgan Ltd",1114617,JUMP,"Broken Quest (IRE)",1,2,14952.56
134,"Chris Giles",948166,JUMP,"Skatman (IRE)",1,3,14896.24
135,"Middleham Park Racing LXXXVIII",1076446,JUMP,"Nelsons Rock (GB)",2,5,14866.52
136,"Mr Michael Williams",1115932,JUMP,"Dorrells Pierji (FR)",2,3,14855.48
137,"The Deeside Partnership",1058603,JUMP,"Dee Star (IRE)",2,10,14718.27
138,"Touchwood Racing",846751,JUMP,"Salley Gardens (IRE)",1,7,14679.09
140,"Robert Aplin & Stratford Racecourse 2",1170468,JUMP,"Oscar Montel (IRE)",1,6,14594.74
141,"Brian Ellison Racing Club",1122029,JUMP,"Snookered (IRE)",1,5,14447.07
142,"Mr Chris Butler",1146868,JUMP,"Touchthesoul (ITY)",1,6,14434.55
143,"Mrs Angela Tincknell",717466,JUMP,"Eritage (FR)",1,1,14370.75
144,"Mr C P Norbury & Tarzan Bloodstock",1156163,JUMP,"Caius Marcius (IRE)",1,5,14370.34
145,"Mr Peter Boggis",501847,JUMP,"Mr Mafia (IRE)",1,6,14292.64
146,"Drew & Ailsa Russell",1044924,JUMP,"Well Planted (FR)",2,6,14127.97
147,"Mr Anwar Badri",1051707,JUMP,"Fire Lake (IRE)",3,8,14092.82
148,"Mr A. Slack",527296,JUMP,"Tonto's Spirit (GB)",1,6,13960.52
150,"Dr David Pickering",538958,JUMP,"Hillview (IRE)",1,3,13897.36
152,"Mr James Latham",995157,JUMP,"Dressedforsuccess (GB)",1,4,13867.65
153,"Taunton Town Peacocks",1135091,JUMP,"Minella Voucher (GB)",2,6,13817.88
154,"The GD Partnership",1081827,JUMP,"Chapmanshype (IRE)",1,4,13809.45
155,"six franks",1158566,JUMP,"State Crown (IRE)",2,4,13804.50
156,"Mr Alistair Price",1136244,JUMP,"Atlantic Storm (IRE)",1,6,13772.48
157,"Crossed Fingers Partnership",910887,JUMP,"Bannister (FR)",2,5,13760.62
158,"Mr John Thomas Hanbury",983815,JUMP,"Battle of Toro (IRE)",1,7,13725.94
159,"The Ben Pauling Racing Club",1116705,JUMP,"Serjeant Painter (GB)",3,5,13680.22
160,"Milldean Racing Syndicate",1127453,JUMP,"Bashful Boy (IRE)",1,5,13658.15
161,"Mr A. Taylor",719497,JUMP,"Jersey Wonder (IRE)",1,8,13614.30
162,"Miss Maria D. Myco",623897,JUMP,"Storm Lorenzo (IRE)",1,9,13601.72
163,"Birkdale Bloodstock",1113932,JUMP,"Toughasoldboots (IRE)",2,11,13580.86
165,"Miss E. J. Butterworth",930744,JUMP,"Benito (FR)",2,8,13462.42
166,StQuintonMauleIntPlyw'dVordermanS-Daniel,1162497,JUMP,"Jony Max (IRE)",1,6,13424.49
167,"Mr P. Long",1161374,JUMP,"Dellboy Trotter (IRE)",2,10,13409.57
170,"Mr C. T. Pogson",564696,JUMP,"Overtougeorge (GB)",2,9,13359.70
171,"Mr D. Hague",950693,JUMP,"Shetland Bus (GER)",0,6,13311.38
172,"TGK Construction Ltd",555674,JUMP,"Costly Diamond (IRE)",2,3,13291.08
174,"National Hunt Racing Club",1169605,JUMP,"My Little Toni (GB)",2,7,13080.20
175,"Mr K. W. Bell",508808,JUMP,"Fight For It (IRE)",1,8,13075.65
176,"Mr & Mrs Duncan Davidson",899089,JUMP,"Get With It (IRE)",1,8,13008.99
178,"Kc Sofas Ltd",1167233,JUMP,"Could Be Trouble (IRE)",1,4,12990.04
179,"Mrs Rachel Brodie & Mr John Brodie",1132738,JUMP,"Chess Player (IRE)",1,6,12881.77
180,"Oliver Signy Racing Club",1149796,JUMP,"Etat Major Aulmes (FR)",3,3,12879.78
181,"Bective Stud",1137023,JUMP,"Fabrique En France (FR)",2,6,12866.04
182,"Racehorse Ownership Club",1165052,JUMP,"Annie Nail (IRE)",2,9,12802.46
183,"Mr R. S. Brookhouse",541719,JUMP,"Miss Chantelle (GB)",2,9,12776.99
184,"The Second Chancers",1137500,JUMP,"Shantou Express (IRE)",1,4,12768.60
185,"Mr Mark Dunphy",1076059,JUMP,"Hey Frankie (IRE)",1,12,12747.42
186,"Mr J. Reed",1156417,JUMP,"My Lady Grey (GB)",3,5,12692.82
188,"The Profile Partnership 2",1127784,JUMP,"Kapitaliste (FR)",2,7,12620.64
189,"Mr A. J. & Mrs J. Ward",962335,JUMP,"Bucko's Boy (GB)",1,5,12606.32
190,"Belly's Heroes",1116314,JUMP,"Blaze A Trail (IRE)",3,6,12603.50
191,"The Gardens Entertainments Ltd",501554,JUMP,"Princess Midnight (GB)",2,6,12567.85
192,"Mr Einsley Harries",1052134,JUMP,"Pilgrims King (IRE)",2,4,12422.90
193,"The Larusso Partnership",1159467,JUMP,"Larusso (IRE)",1,6,12342.09
195,"Foxtrot Racing Tiger Orchid",1155375,JUMP,"Tiger Orchid (IRE)",1,4,12254.26
196,"Mr H. Burns",562282,JUMP,"Henry Brown (IRE)",1,10,12235.94
197,"Mrs Emma Kendall",1107433,JUMP,"Northern Bound (IRE)",2,4,12217.76
198,"Stratford-On-Avon Racecourse Co. Ltd",1030494,JUMP,"Jamacho (GB)",2,4,12136.60
199,"Sherborne Utilities Ltd",1143799,JUMP,"Coal Stock (IRE)",2,3,12099.32
200,"Barrow Hill",1056108,JUMP,"The Height of Fame (GB)",3,3,12084.35
201,"Heart Racing HR2",1131398,JUMP,"Ballymilan (GB)",2,5,12041.34
202,"Mounted Gamess Assoc Syndicate",975312,JUMP,"Zoffalee (FR)",0,6,12036.96
203,"Miss Jayne Brace & Mr Gwyn Brace",761418,JUMP,"Lord Bryan (IRE)",2,5,12025.26
204,"Mr Richard J. Gurr",534416,JUMP,"Sirobbie (IRE)",1,6,12004.36
206,"Mr Keith Jones",812462,JUMP,"Robeam (IRE)",1,8,11984.90
207,"Bryan Drew",1057913,JUMP,"Panic Attack (IRE)",0,1,11960.00
208,"Imperial Racing Partnership",1047069,JUMP,"Imperial Sachin's (IRE)",2,6,11959.80
209,"Mr W. T. Reed",549759,JUMP,"Big Difference (IRE)",1,5,11857.80
210,"Mr M. Wasylocha",918337,JUMP,"Enki Flacke (FR)",3,3,11849.20
211,"Caveat Emptor Partnership",1006389,JUMP,"Elham Valley (FR)",2,4,11788.10
