TRAINERID,TRAINERSTYLE,FULLNAME,LICENCETYPE,NUMBEROFDAYSSINCELASTWIN,COUNTY
505749,"N. W. Alexander","Nick Walter Alexander",Combined,140,Fife
552588,"Louise Allan","Victoria Louise Allan",Combined,123,Cambridgeshire
536527,"Conrad Allen","Conrad Norman Allen",Combined,31,Suffolk
928632,"Sam Allwood","Samuel James Allwood",Jump,145,Shropshire
532262,"Eric Alston","Eric James Alston",Flat,12,Lancashire
549484,"Michael Appleby","Michael Appleby",Combined,2,Leicestershire
540849,"Charlie Appleby","Charles Edward James Appleby",Flat,1,Suffolk
520139,"Richard Armson","Richard John Armson",Permit,114,Derbyshire
504056,"Peter Atkinson","Peter George Atkinson",Permit,168,"North Yorkshire"
534121,"Michael Attwater","Michael James Attwater",Combined,18,Surrey
609451,"Jean-Rene Auvray","Jean Rene Auvray",Combined,1170,Wiltshire
548876,"Kim Bailey","Kim Charles Bailey",Combined,56,Gloucestershire
526962,"Caroline Bailey","Caroline Bailey",Jump,113,Northamptonshire
930734,"Liam Bailey","Liam Robert Bailey",Combined,114,"North Yorkshire"
622533,"George Baker","George Baker",Combined,28,Surrey
539268,"Andrew Balding","Andrew Matthews Balding",Combined,2,Berkshire
848253,"Richard Bandey","Richard James Bandey",Combined,58,Hampshire
1089792,"Chelsea Banham","Chelsea Banham",Combined,7,Suffolk
525313,"Stella Barclay","Stella Elizabeth Barclay",Combined,4,Lancashire
741379,"Tracey Barfoot-Saunt","Tracey Marcia Barfoot-Saunt",Combined,791,Gloucestershire
526451,"Maurice Barnes","Maurice Allen Barnes",Jump,18,Cumbria
774937,"Brian Barr","Brian Francis Barr",Combined,125,Dorset
555352,"Ron Barr","Ronald Edward Barr",Flat,1152,Cleveland
515095,"Ralph Beckett","Ralph Michael Beckett",Combined,7,Hampshire
1113147,"Jessica Bedi","Jessica Indra Bedi",Combined,82,Cleveland
504348,"Michael Bell","Michael Leopold Wentworth Bell",Combined,4,Suffolk
515595,"James Bennett","James Anthony Bennett",Combined,2037,Oxfordshire
558048,"John Berry","John Claude De Pomeroy Berry",Combined,72,Suffolk
1173667,"John Best & Karen Jewell","  Best & K. Jewell",Combined,40,Kent
